"Name","ResourceGroupName","Location"
"vaagiledevops-east-1","VA-AGILEDEVOPS-EAST-RG","usgovvirginia"
"vaagiledevops-east","VA-AGILEDEVOPS-EAST-RG","usgovvirginia"
